reactiveSite,EC1,EC2,EC3,EC4,EC5,EC6
17|17|20|29|44|,0,0,0,1,0,0
17|17|22|22|44|,0,0,0,0,1,0
17|17|22|25|28|29|3|44|,1,0,0,0,0,0
17|17|22|25|28|29|44|44|,1,0,0,0,0,0
17|17|22|26|44|,0,0,0,0,1,0
17|17|22|26|44|44|,1,0,0,0,0,0
17|17|22|32|44|44|,1,0,0,0,0,0
17|17|22|37|44|44|,1,0,0,0,0,0
17|17|24|29|44|,0,0,0,1,0,0
17|17|25|25|29|29|29|44|44|44|44|,0,0,0,1,0,0
17|17|25|25|29|29|44|44|44|44|44|,0,0,0,1,0,0
17|17|25|25|39|44|,0,0,0,0,1,0
17|17|25|26|28|29|3|44|,1,0,0,0,0,0
17|17|25|26|28|29|44|44|,1,0,0,0,0,0
17|17|25|29|29|29|44|44|44|44|44|,0,0,0,1,0,0
17|17|25|29|29|44|44|44|44|44|44|,0,0,0,1,0,0
17|17|25|39|44|44|,0,0,0,0,1,0
17|17|26|26|26|26|29|29|44|44|,1,0,0,0,0,0
17|17|26|26|44|44|,1,0,0,0,0,0
17|17|26|27|28|3|44|,0,0,0,1,0,0
17|17|26|27|28|44|44|,0,0,0,1,0,0
17|17|26|27|28|4|44|,0,0,0,1,0,0
17|17|26|28|29|39|44|44|44|,0,0,1,0,0,0
17|17|26|28|29|3|39|44|44|,0,0,1,0,0,0
17|17|26|28|29|3|3|39|44|,0,0,1,0,0,0
17|17|26|28|29|3|44|,0,0,0,1,0,0
17|17|26|28|29|44|44|,0,0,0,1,0,0
17|17|26|28|29|4|44|,0,0,0,1,0,0
17|17|26|28|39|44|44|,0,0,1,0,0,0
17|17|26|28|3|39|44|,0,0,1,0,0,0
17|17|26|28|3|3|39|,0,0,1,0,0,0
17|17|26|28|44|44|,1,0,0,0,0,0
17|17|26|29|44|,0,0,0,1,0,0
17|17|26|32|44|44|,1,0,0,0,0,0
17|17|26|36|44|44|,1,0,0,0,0,0
17|17|26|37|44|44|,1,0,0,0,0,0
17|17|27|,1,0,1,0,0,0
17|17|27|27|27|3|3|44|5|5|,0,1,0,0,0,0
17|17|27|27|29|29|3|41|,0,1,0,0,0,0
17|17|27|27|29|3|3|44|5|5|,0,1,0,0,0,0
17|17|27|27|29|3|41|44|,0,1,0,0,1,0
17|17|27|27|29|41|41|44|,0,1,0,0,0,0
17|17|27|27|3|,0,1,1,0,1,0
17|17|27|29|29|3|3|41|,0,1,0,0,0,0
17|17|27|29|29|3|44|,0,0,1,0,0,0
17|17|27|29|31|41|41|44|,0,1,0,0,0,0
17|17|27|29|35|41|41|44|,0,1,0,0,0,0
17|17|27|29|3|31|41|44|,0,1,0,0,0,0
17|17|27|29|3|35|41|44|,0,1,0,0,0,0
17|17|27|29|3|3|31|44|44|,0,0,0,0,1,0
17|17|27|29|41|41|44|61|,0,1,0,0,0,0
17|17|27|29|44|,0,1,0,0,0,0
17|17|27|3|3|,0,1,0,0,0,0
17|17|28|32|44|44|,1,0,0,0,0,0
17|17|28|37|44|44|,1,0,0,0,0,0
17|17|28|3|31|44|,0,0,0,1,0,0
17|17|28|3|34|44|,0,0,0,1,0,0
17|17|28|3|39|44|,0,0,0,1,0,0
17|17|28|3|40|44|,0,0,0,1,0,0
17|17|28|7|,1,0,0,0,0,0
17|17|28|9|,1,0,0,0,0,0
17|17|29|29|44|,0,0,1,0,0,0
17|17|29|31|44|,0,1,0,0,1,0
17|17|29|39|44|,0,0,0,1,1,0
17|17|29|39|44|44|44|,0,0,0,1,0,0
17|17|29|3|39|44|44|,0,0,0,1,0,0
17|17|29|3|3|31|44|,0,0,0,0,1,0
17|17|29|3|3|39|44|,0,0,0,0,1,0
17|17|29|3|3|3|3|44|44|,0,0,0,1,0,0
